season,week,team,rating_linear
2019,1,Abilene Christian,-1.548076923076888
2019,1,Air Force,3.7628205128204986
2019,1,Akron,-11.048076923076916
2019,1,Alabama,19.499999999999996
2019,1,Alabama A&M,-5.951923076923062
2019,1,Alabama State,5.951923076923091
2019,1,Alcorn State,-5.548076923076912
2019,1,App State,9.048076923076936
2019,1,Arizona,4.951923076923064
2019,1,Arizona State,3.0480769230769305
2019,1,Arkansas,-4.951923076923062
2019,1,Arkansas State,-11.951923076923062
2019,1,Arkansas-Pine Bluff,-7.548076923076918
2019,1,Army,-4.951923076923064
2019,1,Auburn,2.9999999999999956
2019,1,Austin Peay,7.048076923076923
2019,1,BYU,-17.45192307692307
2019,1,Ball State,-5.000000000000011
2019,1,Baylor,11.04807692307691
2019,1,Bethel University Tennessee,-16.048076923076927
2019,1,Bethune-Cookman,18.951923076923084
2019,1,Boise State,10.951923076923098
2019,1,Boston College,-4.95192307692308
2019,1,Bowling Green,13.04807692307691
2019,1,Bryant,-4.0480769230769065
2019,1,Bucknell,-13.548076923076904
2019,1,Buffalo,5.548076923076938
2019,1,Butler,-15.048076923076914
2019,1,Cal Poly,0.5480769230769188
2019,1,California,-1.4519230769230733
2019,1,Campbell,-6.048076923076932
2019,1,Central Arkansas,11.951923076923064
2019,1,Central Connecticut,9.951923076923073
2019,1,Central Michigan,0.04807692307692845
2019,1,Charleston Southern,-8.048076923076938
2019,1,Charlotte,2.048076923076918
2019,1,Chattanooga,-1.4519230769230715
2019,1,Cincinnati,-3.451923076923067
2019,1,Clemson,10.54807692307693
2019,1,Coastal Carolina,-11.951923076923048
2019,1,Colgate,-20.33333333333337
2019,1,Colorado,10.499999999999991
2019,1,Colorado State,-10.499999999999993
2019,1,Davidson,-4.951923076923061
2019,1,Delaware,0.5480769230769215
2019,1,Delaware State,-0.548076923076935
2019,1,Drake,-11.54807692307693
2019,1,Duke,-19.500000000000018
2019,1,East Carolina,-5.548076923076952
2019,1,East Tennessee State,-9.048076923076923
2019,1,Eastern Illinois,1.45192307692308
2019,1,Eastern Kentucky,14.548076923076916
2019,1,Eastern Michigan,11.951923076923068
2019,1,Eastern Washington,-8.048076923076938
2019,1,Elizabeth City State,-20.5480769230769
2019,1,Elon,6.951923076923071
2019,1,Florida,1.9999999999999962
2019,1,Florida A&M,-22.548076923076923
2019,1,Florida Atlantic,-3.5480769230769305
2019,1,Florida International,-5.548076923076936
2019,1,Florida State,-10.951923076923094
2019,1,Fordham,-9.95192307692307
2019,1,Fresno State,4.4519230769231015
2019,1,Furman,8.048076923076936
2019,1,Gardner-Webb,-2.0480769230769287
2019,1,Georgetown,4.951923076923062
2019,1,Georgia,20.451923076923087
2019,1,Georgia Southern,-17.54807692307694
2019,1,Georgia State,12.451923076923071
2019,1,Georgia Tech,-10.548076923076918
2019,1,Grambling,-2.5480769230769127
2019,1,Hampton,20.548076923076906
2019,1,Hawai'i,-4.951923076923071
2019,1,Holy Cross,-10.548076923076897
2019,1,Houston,-0.5480769230769217
2019,1,Houston Christian,7.451923076923052
2019,1,Howard,-31.04807692307693
2019,1,Idaho,-27.5480769230769
2019,1,Illinois,11.048076923076923
2019,1,Illinois State,1.451923076923071
2019,1,Incarnate Word,-5.548076923076923
2019,1,Indiana,5.000000000000014
